dataset,method,W_test,F1_fake,coverage_test,time,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=100 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3227989677,0.953683,0.922222,17.2643,
iris,forest_diffusion n_t=10 n_t_sampling=10 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=100 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3403788964,0.924962,0.928889,18.88013,
iris,forest_diffusion n_t=25 n_t_sampling=25 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=100 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3247654939,0.949566,0.928889,19.3511,
iris,forest_diffusion n_t=100 n_t_sampling=100 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=100 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3312946387,0.930835,0.922222,18.30066,
iris,forest_diffusion n_t=200 n_t_sampling=200 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=100 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3259507882,0.94255,0.948889,27.83697,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=1 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.5184878437,0.806925,0.862222,11.08108,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=5 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3766706502,0.903785,0.915556,13.08464,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=10 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.366999698,0.938937,0.917778,15.34285,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=25 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3645249301,0.924522,0.928889,15.61115,
iris,forest_diffusion n_t=50 n_t_sampling=50 prior_dist=normal pred_type=z model=xgboost diffusion=flow one_forest_per_t=True duplicate_K=50 min_max(clip=True scaling=True) loss=L2 OT=False minibatch_OT=False ycond=False depth=7 n_trees=100 eta=0.3,0.3469610532,0.914736,0.928889,12.91809,
