dataset,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,percent_bias,coverage_rate,AW,class_score,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
iris,forest_diffusion_flow_nt51_ycond,0.1965801197,0.3281705347,0,0,0,0.9715013544,0.9763558138,0.9721793866,0.9355555556,0.9311111111,0,0,0,3.78E-01,12.38138024,0,0,0,1,0.984416597,0.9910888332,0,0,0,0.9664143524,0.9799161203,0.9551386496,0,0,0,0.9642878239,0.9812797313,0.9803684295,0,0,0,0.9553032413,0.9598108065,0.9621216341
wine,forest_diffusion_flow_nt51_ycond,0.8446677618,1.420639609,0,0,0,0.9560277573,0.9443803188,0.963697318,0.9737089202,0.9537037037,0,0,0,0.3219071809,67.98894024,0,0,0,0.946394619,0.9151926267,0.9580666576,0,0,0,0.9093720944,0.9147300479,0.926771919,0,0,0,0.9982675329,0.9844072254,0.9954183293,0,0,0,0.9700767828,0.9631913752,0.9745323662
parkinsons,forest_diffusion_flow_nt51_ycond,1.150549305,1.674458985,0,0,0,0.8238306255,0.7776309751,0.8264129483,0.855982906,0.947008547,0,0,0,0.3782917926,114.6089677,0,0,0,0.709725269,0.7332993822,0.7116573232,0,0,0,0.8621966794,0.787748353,0.8599468931,0,0,0,0.8572741829,0.7908491415,0.8614168031,0,0,0,0.8661263704,0.7986270237,0.872630774
climate_model_crashes,forest_diffusion_flow_nt51_ycond,2.840935504,3.705703947,0,0,0,0.7608071444,0.7388265999,0.7753948672,0.9793209877,0.9765432099,0,0,0,0.3991010513,95.95348096,0,0,0,0.8369939188,0.792816332,0.8447234733,0,0,0,0.8195912949,0.7366617023,0.8057631446,0,0,0,0.5376682743,0.6438099417,0.6354199018,0,0,0,0.8489750894,0.7820184236,0.8156729492
concrete_compression,forest_diffusion_flow_nt51_ycond,0.3191374612,0.542318191,0.7890316565,0.7400815355,0.7827735896,0,0,0,0.7235436893,0.8889967638,123.3335758,0.3333333333,11.39919116,0.4074414989,25.75027053,0.5759607897,0.5655054515,0.5736431277,0,0,0,0.7630503934,0.7356520287,0.7518071305,0,0,0,0.904734688,0.8276861086,0.8963095761,0,0,0,0.9123807549,0.8314825531,0.9093345243,0,0,0
yacht_hydrodynamics,forest_diffusion_flow_nt51_ycond,0.247446419,0.5372785126,0.8956182635,0.8920737182,0.8960151527,0,0,0,0.8298102981,0.9408602151,141.6350563,0.8380952381,46.41292365,0.4888919174,10.60316626,0.5993811972,0.5996129247,0.6043494696,0,0,0,0.9897862716,0.9859009342,0.9884557869,0,0,0,0.9970182189,0.992944404,0.9962529791,0,0,0,0.9962873662,0.9898366101,0.9950023752,0,0,0
airfoil_self_noise,forest_diffusion_flow_nt51_ycond,0.1329188684,0.2563185646,0.7624965712,0.7039524324,0.7570923117,0,0,0,0.8210205214,0.9446290144,4.965446973,0.8555555556,12.35620714,0.4532762692,17.29659994,0.5087932287,0.5071087381,0.5088215812,0,0,0,0.6605055143,0.6351604638,0.6499638431,0,0,0,0.9329225501,0.8384416238,0.9314080125,0,0,0,0.9477649919,0.835098904,0.9381758101,0,0,0
connectionist_bench_sonar,forest_diffusion_flow_nt51_ycond,6.345999932,8.379706989,0,0,0,0.818381758,0.7694245966,0.8061003712,0.8558232932,0.9492063492,0,0,0,3.99E-01,759.0396365,0,0,0,0.7116789746,0.7338460794,0.7135244352,0,0,0,0.8401233699,0.7653075531,0.8056405704,0,0,0,0.8329529656,0.7940095051,0.8565645413,0,0,0,0.8887717218,0.7845352487,0.8486719379
ionosphere,forest_diffusion_flow_nt51_ycond,3.239158601,4.298176362,0,0,0,0.9129495335,0.875360202,0.906318438,0.8278571429,0.9014084507,0,0,0,0.3880086169,271.0278525,0,0,0,0.8506690212,0.829409009,0.8516007463,0,0,0,0.9387153881,0.8804295255,0.9214887302,0,0,0,0.9399530096,0.9026382066,0.9398887133,0,0,0,0.922460715,0.8889640672,0.9122955621
qsar_biodegradation,forest_diffusion_flow_nt51_ycond,1.097155021,1.47129772,0,0,0,0.8517768076,0.8357791499,0.8512419967,0.6893364929,0.8941548183,0,0,0,0.4536372209,534.1876943,0,0,0,0.857561255,0.8361901298,0.8522690117,0,0,0,0.8302144943,0.8237676879,0.8362086312,0,0,0,0.8621689851,0.8438742276,0.8577844251,0,0,0,0.8571624959,0.8392845544,0.8587059188
seeds,forest_diffusion_flow_nt51_ycond,0.3065274948,0.5152237729,0,0,0,0.8711821463,0.8847461748,0.8862889073,0.9384920635,0.9698412698,0,0,0,0.2726410833,24.4699719,0,0,0,0.936659665,0.9460169828,0.9571250489,0,0,0,0.6485722286,0.7259665228,0.6659260044,0,0,0,0.9634046442,0.9319821085,0.9665812371,0,0,0,0.9360920476,0.9350190851,0.9555233386
glass,forest_diffusion_flow_nt51_ycond,0.3568649396,0.6828810939,0,0,0,0.6205299257,0.5674648327,0.5865162109,0.9243664717,0.9162790698,0,0,0,0.3874620745,61.35801729,0,0,0,0.5611093415,0.563873488,0.5679622251,0,0,0,0.4344818638,0.4083413383,0.3060254467,0,0,0,0.7354191386,0.6614728207,0.757916966,0,0,0,0.7511093587,0.6361716839,0.7141602059
ecoli,forest_diffusion_flow_nt51_ycond,0.2443816185,0.4494884995,0,0,0,0.7322560453,0.683640119,0.7307901635,0.9338308458,0.9578431373,0,0,0,0.3936024945,49.60036564,0,0,0,0.8429672979,0.811221443,0.8409850203,0,0,0,0.458974669,0.3527194129,0.4977243009,0,0,0,0.8269753021,0.7842352841,0.8148624144,0,0,0,0.8001069122,0.7863843358,0.7695889182
yeast,forest_diffusion_flow_nt51_ycond,0.2041999762,0.3385969205,0,0,0,0.5159895897,0.4077275976,0.4949910516,0.9218197136,0.9434343434,0,0,0,0.4357934534,104.5293399,0,0,0,0.5386445957,0.493185645,0.5413823744,0,0,0,0.4064941104,0.2508749214,0.3455997348,0,0,0,0.5586396039,0.4566728784,0.5389198474,0,0,0,0.5601800486,0.4301769457,0.5540622498
libras,forest_diffusion_flow_nt51_ycond,7.675977393,9.996808252,0,0,0,0.5838362184,0.4519208575,0.5889242007,0.830787037,0.925,0,0,0,3.63E-01,9481.823641,0,0,0,0.6962763163,0.6281550672,0.7296000543,0,0,0,0.07820754173,0.06262043876,0.07062063467,0,0,0,0.8112754159,0.6066306703,0.808483773,0,0,0,0.7495855996,0.5102772536,0.746992341
planning_relax,forest_diffusion_flow_nt51_ycond,0.8195596243,1.424651022,0,0,0,0.4314188016,0.4517201081,0.4521251173,0.9696551724,0.9945945946,0,0,0,0.2789286129,43.07285635,0,0,0,0.3994260604,0.4411102373,0.4426094844,0,0,0,0.3970594979,0.4816069434,0.4485618824,0,0,0,0.448442713,0.4381400803,0.4538041408,0,0,0,0.4807469349,0.4460231713,0.4635249614
blood_transfusion,forest_diffusion_flow_nt51_ycond,0.07289617916,0.1279131551,0,0,0,0.5975314873,0.5973613548,0.601862447,0.8333333333,0.9555555556,0,0,0,0.4034268323,9.885715167,0,0,0,0.5587315331,0.5844762432,0.5711854214,0,0,0,0.6518887858,0.6177101106,0.6401788934,0,0,0,0.590736905,0.607502713,0.5839598517,0,0,0,0.5887687251,0.5797563525,0.6121256216
breast_cancer_diagnostic,forest_diffusion_flow_nt51_ycond,1.281369931,1.748776201,0,0,0,0.9621434348,0.9444702868,0.961012602,0.9501831502,0.9760233918,0,0,0,0.3606594264,254.774972,0,0,0,0.9684572719,0.9389951147,0.9610163812,0,0,0,0.9557957103,0.9459075248,0.9595386609,0,0,0,0.9559334667,0.9515891341,0.960669451,0,0,0,0.9683872901,0.9413893736,0.9628259148
connectionist_bench_vowel,forest_diffusion_flow_nt51_ycond,0.40870453,0.7274295627,0,0,0,0.6504474126,0.6137401624,0.6705366828,0.8304713805,0.9272727273,0,0,0,0.3092535542,162.0841962,0,0,0,0.6731765241,0.6615742842,0.6708813236,0,0,0,0.0767009015,0.1184028552,0.1452391319,0,0,0,0.9569156874,0.8747667063,0.9568312107,0,0,0,0.8949965374,0.8002168041,0.9091950648
concrete_slump,forest_diffusion_flow_nt51_ycond,0.5388237947,1.170612636,0.8254924131,0.6670818569,0.8157078208,0,0,0,0.9170731707,0.8920634921,31.87042535,0.8333333333,13.53945096,0.3456846213,10.65465148,0.8461201115,0.8139270838,0.8379557899,0,0,0,0.8023021994,0.6417937375,0.795782493,0,0,0,0.8057604675,0.6211263901,0.8120079565,0,0,0,0.8477868741,0.5914802161,0.817085044,0,0,0
wine_quality_red,forest_diffusion_flow_nt51_ycond,0.3852303629,0.5160494227,0.3475731869,0.2591290393,0.3418952608,0,0,0,0.9203023195,0.9727083333,76.30429149,0.7818181818,12.28723096,0.437438609,46.72254737,0.3220754354,0.3044158979,0.3183787642,0,0,0,0.3179794107,0.2666550841,0.3044222958,0,0,0,0.4248786184,0.3001467068,0.4184474903,0,0,0,0.3253592829,0.1652984686,0.3263324928,0,0,0
wine_quality_white,forest_diffusion_flow_nt51_ycond,0.39078558,0.4716978835,0.3677915875,0.2537763084,0.3591643897,0,0,0,0.8808235494,0.9730612245,125.3335658,0.7277777778,15.89882115,4.37E-01,162.2290142,0.2622624323,0.2587471817,0.2621064934,0,0,0,0.2939442049,0.2495575694,0.2699101743,0,0,0,0.4878961919,0.3194639961,0.4892884201,0,0,0,0.4270635209,0.1873364865,0.4153524709,0,0,0
tictactoe,forest_diffusion_flow_nt51_ycond,1.230433241,1.94546053,0,0,0,0.8996244339,0.7458541485,0.8189273482,0.8022628372,0.7277777778,0,0,0,0.3002067884,126.4733055,0,0,0,0.9787439883,0.6886047737,0.7619699172,0,0,0,0.7195647636,0.6728346083,0.6951581195,0,0,0,0.9097889033,0.7957478748,0.8873084801,0,0,0,0.9904000804,0.8262293374,0.9312728761
congress,forest_diffusion_flow_nt51_ycond,3.125183505,3.67138995,0,0,0,0.9466191907,0.9238293371,0.9431939533,0.2668582375,0.3540229885,0,0,0,0.4863104139,252.5217179,0,0,0,0.9278383913,0.8883523846,0.9284823437,0,0,0,0.95171629,0.9228017124,0.9435536185,0,0,0,0.9510797494,0.9430640043,0.9527573992,0,0,0,0.955842332,0.941099247,0.9479824516
car,forest_diffusion_flow_nt51_ycond,0.5094929249,1.002326464,0,0,0,0.7444092371,0.6597632581,0.7169182236,0.5274481428,0.6157996146,0,0,0,0.3072969214,157.7094073,0,0,0,0.8649293999,0.7731236948,0.8291343558,0,0,0,0.5903696489,0.4930162242,0.5590359038,0,0,0,0.6097108019,0.6399208712,0.6686090246,0,0,0,0.9126270976,0.7329922423,0.8108936103
iris,forest_diffusion_vp_nt51_ycond,0.2374404767,0.3326459638,0,0,0,0.9715013544,0.9713081542,0.9683685873,0.8416666667,0.9377777778,0,0,0,0.3701996051,12.80237381,0,0,0,1,0.977722083,0.9933166249,0,0,0,0.9664143524,0.9681893352,0.9461805253,0,0,0,0.9642878239,0.9817118554,0.9763449027,0,0,0,0.9553032413,0.9576093432,0.9576322962
wine,forest_diffusion_vp_nt51_ycond,0.9567891437,1.430664181,0,0,0,0.9560277573,0.9130857184,0.9596978004,0.9610328638,0.9481481481,0,0,0,0.3200623941,70.9395682,0,0,0,0.946394619,0.9139918157,0.9563551614,0,0,0,0.9093720944,0.8143886807,0.9150574716,0,0,0,0.9982675329,0.9830706877,0.9968815592,0,0,0,0.9700767828,0.9408916896,0.9704970092
parkinsons,forest_diffusion_vp_nt51_ycond,1.31446355,1.736257575,0,0,0,0.8238306255,0.7606339503,0.817355097,0.7123931624,0.9076923077,0,0,0,0.3748166671,120.8191675,0,0,0,0.709725269,0.7079514725,0.7039166933,0,0,0,0.8621966794,0.7560741663,0.8383196419,0,0,0,0.8572741829,0.7542394108,0.8568476208,0,0,0,0.8661263704,0.8242707516,0.8703364322
climate_model_crashes,forest_diffusion_vp_nt51_ycond,2.882853701,3.686383829,0,0,0,0.7608071444,0.7535431866,0.7802518167,0.9790123457,0.9790123457,0.00E+00,0,0,3.91E-01,104.0216723,0,0,0,0.8369939188,0.7874610235,0.8351107478,0,0,0,0.8195912949,0.7696241088,0.8032820797,0,0,0,0.5376682743,0.6578893877,0.6368844918,0,0,0,0.8489750894,0.7991982262,0.8457299474
concrete_compression,forest_diffusion_vp_nt51_ycond,0.4046530555,0.5956266617,0.7890316565,0.6872436998,0.7743915767,0,0,0,0.4409385113,0.7805825243,139.3865404,0.162962963,9.775629633,0.4262094467,29.75207861,0.5759607897,0.5617934604,0.5718455827,0,0,0,0.7630503934,0.6901052061,0.7270515615,0,0,0,0.904734688,0.7595233935,0.8913867789,0,0,0,0.9123807549,0.7375527393,0.9072823838,0,0,0
yacht_hydrodynamics,forest_diffusion_vp_nt51_ycond,0.3586524172,0.6185101882,0.8956182635,0.8723286767,0.8895015062,0,0,0,0.4842818428,0.8978494624,182.4274042,0.6761904762,41.95855928,0.4692799604,11.84801817,0.5993811972,0.5755848757,0.5926700674,0,0,0,0.9897862716,0.9718379181,0.9818285942,0,0,0,0.9970182189,0.9841695794,0.9945018958,0,0,0,0.9962873662,0.9577223335,0.9890054673,0,0,0
airfoil_self_noise,forest_diffusion_vp_nt51_ycond,0.2037775292,0.3085049556,0.7624965712,0.6478749229,0.7434475565,0,0,0,0.3444259567,0.8252491694,2.578739922,0.9111111111,12.38241498,0.4391957683,21.08193421,0.5087932287,0.5063205806,0.5084894603,0,0,0,0.6605055143,0.591394139,0.6144608195,0,0,0,0.9329225501,0.7581149195,0.922587292,0,0,0,0.9477649919,0.7356700524,0.9282526543,0,0,0
connectionist_bench_sonar,forest_diffusion_vp_nt51_ycond,6.54243727,8.396914483,0,0,0,0.818381758,0.7797713967,0.8108510679,0.8228915663,0.9396825397,0,0,0,0.3881241359,792.2708579,0,0,0,0.7116789746,0.7492971787,0.7167128883,0,0,0,0.8401233699,0.7828286156,0.8207967822,0,0,0,0.8329529656,0.7979734542,0.8527594093,0,0,0,0.8887717218,0.7889863381,0.8531351917
