dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
iris,MCAR(0.2),forest_diffusion_nt51_ycond,0.04118531871,0.09685042793,0,0,0.0704249398,0.2377760533,6.32E-03,2.86E-01,0.2631815346,0,0.9663669502,1.21E+01,0,0.9754716758,0,0.9532399247,0,0.9745896728,0,0.9621665274
iris,MCAR(0.2),forest_diffusion_repaint_nt51_ycond,0.04614560975,0.09489011886,0,0,0.06854555692,0.2383996232,4.90E-03,2.58E-01,2.37E-01,0,0.9711321363,3.12E+01,0,0.9799498747,0,0.9504433321,0,0.9808409914,0,0.973294347
wine,MCAR(0.2),forest_diffusion_nt51_ycond,0.08456474269,0.1286900021,0,0,0.3478613482,1.433549978,5.99E-03,2.87E-01,2.63E-01,0,0.9437951688,76.54758334,0,0.9453502374,0,0.8557849517,0,0.9941465712,0,0.9798989149
wine,MCAR(0.2),forest_diffusion_repaint_nt51_ycond,0.08514083328,0.127183519,0,0,0.3437589799,1.430058248,5.18E-03,2.64E-01,2.42E-01,0,0.9587879857,146.9700301,0,0.9453140976,0,0.9134709326,0,0.997945679,0,0.9784212335
parkinsons,MCAR(0.2),forest_diffusion_nt51_ycond,0.05222373522,0.08434412818,0,0,0.3794638081,1.71943323,0.005256669555,0.2343266429,2.13E-01,0,0.7987704681,152.0443585,0,0.7168056146,0,0.7920876053,0,0.8334966838,0,0.8526919688
parkinsons,MCAR(0.2),forest_diffusion_repaint_nt51_ycond,0.04921373443,0.0774917376,0,0,0.3484575669,1.713306505,0.004353962475,0.2154554269,1.97E-01,0,0.7960900007,240.1886897,0,0.7221836503,0,0.8090259491,0,0.8365785306,0,0.8165718726
climate_model_crashes,MCAR(0.2),forest_diffusion_nt51_ycond,0.2022652833,0.3005065538,0,0,1.083655725,3.806076265,0.03377994307,0.7446359445,6.82E-01,0,0.7438395893,127.7329698,0,0.8485241559,0,0.7742367122,0,0.5456181493,0,0.8069793398
climate_model_crashes,MCAR(0.2),forest_diffusion_repaint_nt51_ycond,0.2093401104,0.3000293312,0,0,1.08189047,3.815143542,0.02924541013,0.6782832961,6.20E-01,0,0.7503537959,199.1212173,0,0.8520275227,0,0.7888328165,0,0.5490260425,0,0.8115288017
concrete_compression,MCAR(0.2),forest_diffusion_nt51_ycond,0.04714333736,0.1410316279,184.4693937,0.1333333333,0.2049373815,0.5493410993,2.00E-02,4.99E-01,4.37E-01,0.7451938373,0,29.43625212,0.556948017,0,0.7191069363,0,0.8614110643,0,0.8433093316,0
concrete_compression,MCAR(0.2),forest_diffusion_repaint_nt51_ycond,0.04247555389,0.1177489666,145.7735885,0.1851851852,0.1729090882,0.5350323413,1.50E-02,4.12E-01,3.60E-01,0.7518865706,0,51.90998014,0.5620533229,0,0.7290868293,0,0.8627741201,0,0.8536320101,0
